current_dir=/home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/pybullet_envs/bullet
WalkerBase::__init__
Agent Initialized
Beginning training...

options= 
Results from episode     10: Total Reward=-155.76 over 1000 steps
Results from episode     20: Total Reward= 204.00 over 1000 steps
Results from episode     30: Total Reward=  74.59 over 1000 steps
Results from episode     40: Total Reward=  -1.34 over  20 steps
Results from episode     50: Total Reward= 170.64 over 1000 steps
Results from episode     60: Total Reward=  98.11 over 1000 steps
Results from episode     70: Total Reward=  -0.28 over  25 steps
Results from episode     80: Total Reward=  94.65 over 1000 steps
Results from episode     90: Total Reward= 158.57 over 914 steps
Results from episode    100: Total Reward=  84.65 over 1000 steps
Results from episode    110: Total Reward=  88.63 over 1000 steps
Results from episode    120: Total Reward=  93.08 over 1000 steps
Results from episode    130: Total Reward= 117.03 over 1000 steps
Results from episode    140: Total Reward=  -1.48 over  20 steps
Results from episode    150: Total Reward=  -1.70 over  20 steps
Results from episode    160: Total Reward=  -1.73 over  20 steps
Results from episode    170: Total Reward=  -1.22 over  20 steps
Results from episode    180: Total Reward=  -2.22 over  20 steps
Results from episode    190: Total Reward=  -1.47 over  20 steps
Results from episode    200: Total Reward=  -1.34 over  20 steps
Results from episode    210: Total Reward=  -1.56 over  21 steps
Results from episode    220: Total Reward=  -4.68 over  32 steps
Results from episode    230: Total Reward= 110.57 over 1000 steps
Results from episode    240: Total Reward= 167.17 over 1000 steps
Results from episode    250: Total Reward= 306.13 over 1000 steps
Results from episode    260: Total Reward= 144.83 over 1000 steps
Results from episode    270: Total Reward= 232.50 over 1000 steps
Results from episode    280: Total Reward= 203.29 over 1000 steps
Results from episode    290: Total Reward= 109.69 over 1000 steps
Results from episode    300: Total Reward= 109.18 over 1000 steps
Results from episode    310: Total Reward=  -1.69 over  20 steps
Results from episode    320: Total Reward= 102.73 over 1000 steps
Results from episode    330: Total Reward= 103.69 over 1000 steps
Results from episode    340: Total Reward=  95.23 over 1000 steps
Results from episode    350: Total Reward=  98.25 over 1000 steps
Results from episode    360: Total Reward= 109.70 over 1000 steps
Results from episode    370: Total Reward= 204.93 over 1000 steps
Results from episode    380: Total Reward= 123.46 over 1000 steps
Results from episode    390: Total Reward=  17.06 over 318 steps
Results from episode    400: Total Reward=  64.54 over 516 steps
Results from episode    410: Total Reward=  44.85 over 388 steps
Results from episode    420: Total Reward= 141.32 over 1000 steps
Results from episode    430: Total Reward= 122.26 over 1000 steps
Results from episode    440: Total Reward=  -3.57 over  21 steps
Results from episode    450: Total Reward=  33.86 over 326 steps
Results from episode    460: Total Reward= 101.50 over 1000 steps
Results from episode    470: Total Reward=  59.47 over 389 steps
Results from episode    480: Total Reward= 197.19 over 1000 steps
Results from episode    490: Total Reward= 107.85 over 1000 steps
Results from episode    500: Total Reward= 332.58 over 1000 steps
Results from episode    510: Total Reward= 282.83 over 1000 steps
Results from episode    520: Total Reward= 198.44 over 1000 steps
Results from episode    530: Total Reward=  97.11 over 1000 steps
Results from episode    540: Total Reward=  14.00 over  54 steps
Results from episode    550: Total Reward=  -2.59 over  29 steps
Results from episode    560: Total Reward=  -4.86 over  34 steps
Results from episode    570: Total Reward=  11.62 over  36 steps
Results from episode    580: Total Reward=   9.65 over  89 steps
Results from episode    590: Total Reward= 195.16 over 1000 steps
Results from episode    600: Total Reward= 168.52 over 1000 steps
Results from episode    610: Total Reward= 185.70 over 1000 steps
Results from episode    620: Total Reward= 195.66 over 1000 steps
Results from episode    630: Total Reward=  21.40 over 110 steps
Results from episode    640: Total Reward= 202.84 over 1000 steps
Results from episode    650: Total Reward= 150.39 over 657 steps
Results from episode    660: Total Reward= 153.14 over 1000 steps
Results from episode    670: Total Reward=  29.80 over 242 steps
Results from episode    680: Total Reward= 239.52 over 1000 steps
Results from episode    690: Total Reward= 118.09 over 1000 steps
Results from episode    700: Total Reward= 231.90 over 1000 steps
Results from episode    710: Total Reward= 202.37 over 1000 steps
